Id,SkillId,ExperienceId
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,2
12,2,2
13,3,2
14,4,2
15,5,2
16,12,2
17,13,2
18,14,2
19,15,2
20,16,2
21,17,2
22,18,2
23,19,2
24,20,2
25,18,3
26,19,3
27,21,4
28,22,4
29,4,4
30,5,4
31,12,4
32,13,4
33,11,5
34,2,5
35,3,5
36,4,5
37,5,5
38,12,5
39,13,5
40,23,5
41,15,5
42,11,6
43,3,6
44,4,6
45,5,6
46,12,6
47,13,6
48,15,6
49,16,6
50,24,7
51,25,7
52,26,7
53,27,7
54,28,8
55,29,8
56,30,9
57,4,9
58,5,9
